,device_id,dataprofile_id,cloud_received_time,sample_time,year,year_month,year_month_day,influx_migration_source_filename,T1_remote_K,T2_embeded_K,RelFlow_Fb_Rel2Vmax,RelPower_Fb_Rel2Pmax,AbsFlow_Fb_m3s,AbsPower_Fb_W,Heating_E_J,Glycol_Concentration_Rel,ControlMode_Write,Cooling_E_J,RelPos_Fb,DeltaT_Limitation_Write,SpDeltaT_K_Write,Pmax_Rel_Write,Vmax_Rel_Write,InstallationPosition_Write,Override_Write,DN_Size,SpFlow_DeltaT_lmin_Write,DDC_Sp_Rel,SpDeltaT_applied_K,Error_Status_Cloud,DDC_BUS_Sp_Write,dT_Manager_Ste,Active_dT_Manager_total_h,DeltaT_K,DDC_Sp_V,OperatingHours,Flow_Volume_total_m3,Y3AnalogInputValue
0,14e5bc06-9e32-4938-96df-82a070581e7d,energyvalve3/1.11,2019-06-09 11:40:34.098,2019-06-09 11:38:32.312000,2019,201906,20190609,2019-06-09_09.gz,349.9248691099477,323.42526041666656,94.32536203404179,3101.045820664627,0.0028297608610212536,310104.5820664627,0.0,0.0,1,1035416377217.5392,92.03,2,10.0,0.5882352941176471,37.5,2,1,65,0.002833333333333334,91.9000015258789,10.0,0.0,91.9000015258789,2,0.0,26.499608693281118,5e-324,2278.438304487916,9454.135185761725,
1,14e5bc06-9e32-4938-96df-82a070581e7d,energyvalve3/1.11,2019-06-19 01:18:23.274,2019-06-19 01:17:21.806000,2019,201906,20190618,2019-06-18_23.gz,349.9458115183246,323.4408854166666,0.0,0.0,0.0,0.0,0.0,0.0,1,1151465872059.327,19.78,2,5.0,0.5294117647058824,50.0,2,1,65,0.003833333333333333,19.700000762939453,5.0,0.0,19.700000762939453,2,0.0,26.504926101657986,5e-324,2508.085699814313,10513.017982790949,
2,15cbf304-2834-4523-81d1-45c0bbc0f849,energyvalve3/1.11,2019-06-17 05:36:49.933,2019-06-17 05:33:48.073000,2019,201906,20190617,2019-06-17_03.gz,351.1814136125655,324.4877604166666,100.6137195029779,4934.568909441828,0.004024548780119116,444111.2018497645,0.0,0.0,1,3971630523522.777,31.22,2,5.0,0.5294117647058824,50.0,2,1,65,0.003833333333333333,31.399999618530273,5.0,0.0,31.399999618530273,2,0.0,26.69365319589889,0.00013615689754586485,2484.7141931213832,35993.26201291546,
3,15cbf304-2834-4523-81d1-45c0bbc0f849,energyvalve3/1.11,2019-06-17 10:18:08.063,2019-06-17 10:14:02.385000,2019,201906,20190617,2019-06-17_08.gz,351.1814136125655,324.5033854166666,100.6137195029779,4931.649278666167,0.004024548780119116,443848.4350799551,0.0,0.0,1,3979098402736.503,90.06,2,5.0,0.5294117647058824,50.0,2,1,65,0.003833333333333333,90.0,5.0,0.0,90.0,2,0.0,26.67802819589889,6.197483919487223e-05,2489.3848328313834,36060.93199453972,
4,14e5bc06-9e32-4938-96df-82a070581e7d,energyvalve3/1.11,2019-06-08 04:22:01.103,2019-06-08 04:19:29.379000,2019,201906,20190608,2019-06-08_02.gz,349.93534031413617,323.42786458333325,0.0,0.0,0.0,0.0,0.0,0.0,1,1020930555792.837,25.41,2,5.0,0.5294117647058824,50.0,2,1,65,0.003833333333333333,25.5,5.0,0.0,25.5,2,0.0,26.507475730802923,5e-324,2247.1208650354656,9321.962748965392,
5,14e5bc06-9e32-4938-96df-82a070581e7d,energyvalve3/1.11,2019-06-08 10:53:47.489,2019-06-08 10:49:45.524000,2019,201906,20190608,2019-06-08_08.gz,349.9458115183246,323.4565104166666,0.0,0.0,0.0,0.0,0.0,0.0,1,1024010024662.1632,24.18,2,5.0,0.5294117647058824,50.0,2,1,65,0.003833333333333333,24.100000381469727,5.0,0.0,24.100000381469727,2,0.0,26.489301101657986,5e-324,2253.62534114825,9350.065913920847,
6,14e5bc06-9e32-4938-96df-82a070581e7d,energyvalve3/1.11,2019-06-27 16:35:49.321,2019-06-27 16:32:26.767000,2019,201906,20190627,2019-06-27_14.gz,349.953664921466,323.4877604166666,0.0,0.0,0.0,0.0,0.0,0.0,1,1246239126496.8582,9.62,2,5.0,0.5294117647058824,50.0,2,1,65,0.003833333333333333,9.5,5.0,0.0,9.5,2,0.0,26.46590450479937,5e-324,2715.3373247682484,11378.038000275046,
7,14e5bc06-9e32-4938-96df-82a070581e7d,energyvalve3/1.11,2019-06-28 03:46:34.775,2019-06-28 03:42:25.390000,2019,201906,20190628,2019-06-28_01.gz,349.96151832460737,323.4669270833333,0.0,0.0,0.0,0.0,0.0,0.0,1,1251190665332.5696,7.690000000000001,2,5.0,0.5294117647058824,50.0,2,1,65,0.003833333333333333,7.900000095367432,5.0,4.0,7.900000095367432,2,0.0,26.494591241274065,5e-324,2726.503612513773,11423.259297566427,
8,14e5bc06-9e32-4938-96df-82a070581e7d,energyvalve3/1.11,2019-06-22 22:53:57.217,2019-06-22 22:50:55.169000,2019,201906,20190622,2019-06-22_20.gz,349.93534031413617,323.4356770833333,6.288357468936113,206.73608166099623,0.00018865072406808338,20673.608166099624,0.0,0.0,1,1193925169170.313,33.52,2,10.0,0.5882352941176471,37.5,2,1,65,0.002833333333333334,33.5,10.0,0.0,33.5,2,0.0,26.499663230802867,5e-324,2601.645108987264,10900.57560325493,
9,15cbf304-2834-4523-81d1-45c0bbc0f849,energyvalve3/1.11,2019-06-18 15:10:53.847,2019-06-18 15:06:21.799000,2019,201906,20190618,2019-06-18_13.gz,351.2128272251309,324.5346354166666,134.15162600397053,4438.464035236365,0.004024548780119116,443846.4035236365,0.0,0.0,1,4025243913571.697,91.85,2,10.0,0.5882352941176471,37.5,2,1,65,0.002833333333333334,82.0999984741211,10.0,0.0,82.0999984741211,2,0.0,26.678191808464305,8.184904914304889e-05,2518.257048033861,36479.243997394464,
